recid,givenname,surname,suburb,pc
4325769,warren,brodie,slade point,4740
1704332,shelley,zanon,footscray west,3012
2621838,anne,napoli,eagle farm,4009
5243280,fong,laskey,merimbula,2548
131474,wenda,meers,mudgee,2850
2883997,douglas,thiselton,helensvale,4210
3539362,francis,mcalister,cootamundra,2590
4719015,john,reilly,toiberry,7301
3932593,ivy,bodroutdinov,southport,4215
4325821,john,calabresi,balwyn north,3104
3801553,david,halden,utakarra,6530
393682,antonina,collis,deception bay,4508
2490842,robert,kurmis,para hills,5096
4063708,laurence,hinton,cronulla,2230
5243361,mark,mickelburough,noble park,3174
3670502,peter,wilson,cloverdale,6105
3801576,michael,mceachern,koroit,3282
4456947,ralph,bridle,torquay,4655
1470860,alison,clark,templestowe,3106
3146242,jerzy,hone,nerimbera,4701
2490883,kenneth,lowe,west ipswich,4305
4850187,jeanette,smithers,albion park,2527
2359826,timothy,gratton,lara,3212
2980985,michele,otter,five dock,2046
1573419,peter,varnish,castle hill,2154
4719148,david,williams,plympton,5038
4063789,kenneth,rolff,wantirna,3152
1573424,fleur,georges,deer park,3023
4850226,lesley,schimizzi,vermont south,3133
2490935,antony,johnson,melville,6156
1966649,paul,alatalo,wodonga west,3690
5243455,bernie,billingsley,berwick,3806
5374543,jinsong,triegaardt,leederville,6007
2490963,steve,holliday,condon,4815
5636696,scott,day,camp mountain,4520
2097760,joshua,goldsworthy,carlton north,3054
1835628,jon,mac gregor,donvale,3111
787056,helen,mijajlovic,ramsgate,2217
787059,suzanne,bringolf,baulkham hills,2153
3015286,david,ruban,wollongong,2500
1180281,anna,isom,humevale,3757
4850301,alan,darcy-wright,mornington,3931
3277441,wayne,slade,south yarra,3141
643,wai,bala,footscray,3011
2228870,peter,poels,gympie,4570
1856961,steven,calderon,woolloomooloo,2011
4063883,fan,pickering,stockton,2295
742850,jean,beattie,telford,3730
4194961,tim,sutherland,berwick,3806
6685336,leon,clegg,doonside,2767
2622116,thi,meers,mudgee,2850
1420060,michael,ward,somerton park,5044
3539058,jovencio,lameks,ulladulla,2539
5767859,beverley,mossuto,vaucluse,2030
2753216,garry,biello,mount barker,5251
6816460,allan,baldacchino,moe,3825
5374672,bruce,valesini,maddington,6109
1835746,joao,morgan,frankston,3199
5636836,natalie,hobbs,murray town,5481
1201617,deborah,clayton,penguin,7316
2491113,christopher,triffett,rokeby,7019
4326122,bernard,nagy,burleigh heads,4220
2491117,barbara,davies,kyogle,2474
5112559,sandra,jolley,port kennedy,6172
4326144,vicki,johnston,fern bay,2295
3670794,kathleen,gillon,penola,5277
131862,peter,law,wonthaggi,3995
6816535,gael,hailwood,stratton,6056
4195098,linda,brice,douglas,4814
394012,marcelle,pedrina,hamilton,3300
1704751,phillip,vasiliou,camperdown,2050
656183,dominic,willington,the gap,4061
1704761,patricia,dixon,chipping norton,2170
5374784,john,hardman,broadwater,2472
4850498,anita,paulsen,middle park,4074
3408711,ray,hodges,fairlight,2094
2097994,gwyn,parker,east perth,6004
6685521,julie,mackay,kurrajong east,2758
263001,maite,beckley,corio,3214
5374811,david,walsh,wodonga,3690
4980880,raymond,ring,toormina,2452
5243750,allan,tanks,parkes,2870
6816625,john,booth,avalon,2107
2098035,vickielee,lovejoy,caboolture,4510
5374836,andrew,miller,southport,4215
1704823,pina,smith,carindale,4152
3801991,ying,partington,marangaroo,6064
1442700,geoffrey,hickmore,capalaba,4157
525205,jing,mcnamara,pallamallawa,2399
1966998,eunice,bettinelli,south coogee,6166
4719511,laurence,chua,frenchs forest,2086
3539865,mary,wilkie,heathcote,3523
2360218,adam,minton,engadine,2233
3277723,jean,donoghue,lalor park,2147
4981660,lorraine,toogood,flagstaff hill,5159
2098080,tracy,jolly,athelstone,5076
1049509,helen,wood,toorak,3142
4064169,virginia,steinhardt,nerang,4211
1442738,fatat,chan,box hill,3128
1180596,john,topsfield,loxton,5333
1311672,brooke,crossingham,port lincoln,5606
3933117,janice,tyler,torquay,3228
5112773,david,cowen,south yarra,3141
6685656,sharon,curtis,woonona,2517
1311713,julie,crawford,horfield,3567
4588521,rosie,schleich,queenstown,7467
3408883,leonard,hosie,bunbartha,3634
2229236,mark,graham,wanneroo,6065
6161399,karon,walker,reservoir,3073
4019713,wayne,castine,orange,2800
6292488,mervyn,howe,mittagong,2575
5112844,meifen,briar,kearns,2558
1180699,alan,smith rowan,ferny creek,3786
2491422,garry,decicco,merrigum,3618
787491,bruce,burrill,oatlands,7120
4195366,karen,brown,kambah,2902
1442855,miriam,watson,richmond,3121
2098216,william,shakespeare,sussex inlet,2540
5637164,lin,unthank,wangaratta,3677
1705006,susan,neville,kempsey,2440
5112882,elizabeth,kalafatis,ardmona,3629
5243962,raymond,robertson,bundaberg,4670
6292547,philip,king,woollahra,2025
5506118,kiang,carton,craigieburn,3064
5243976,christopher,daloia,undera,3629
4850763,elizabeth,kerr,cleveland,4163
2360397,jacqueline,shadbolt,hawker,2614
5112912,giuseppa,hazell,emu plains,2750
4850775,gokhan,knotek,west wollongong,2500
132192,nicholas,findlay,blakehurst,2221
4850788,shelly,morris,hillbank,5112
1836137,peter,tran,cabramatta,2166
2491503,jennifer,ritter,peregian beach,4573
6816880,eva,philp,wangaratta,3677
3015793,malcolm,blanc,yarloop,6218
6161531,doris,hamoud,bankstown,2200
132221,paul,rowe,warragul,3820
787583,peter,kassoum,bossley park,2176
1442955,marlene,hards,highbury,5089
3409036,christopher,liew,south perth,6151
1180819,ivan,kajiwroa,brunswick,3056
6685851,leah,qian,fairfield west,2165
3146913,geoff,rodriguez,montgomery,3851
2360497,tania,boundy,mentone,3194
1049780,peter,brooks,broken hill,2880
1967309,phillip,toda,sydney,2000
3671248,andrew,moore,gagebrook,7030
4064465,suzi,davies,tullamarine,3043
2884822,gordon,wilson,emu plains,2750
1836251,peter,molina,labrador,4215
132317,genene,thompson,st albans,3021
6817005,janet,utley,hawthorn,3122
1574126,dick,payne,footscray west,3012
2753786,patricia,hall,helensburgh,2508
1705218,brian,de barross,warrawong,2502
4850948,darryl,hymus,wangaratta,3677
6685958,jeffrey,dunne,castle hill,2154
4719879,nick,kjaerbye,marrickville,2204
5244170,rance,howard,como,6152
3015947,anthony,vescio,markwood,3678
6292748,stephen,middleton,noosa heads,4567
525582,ross,dixon,cadell,5321
1312017,lynelle,taylor,belrose,2085
6030612,betty,dawes,dapto,2530
918810,richard,berndt,klemzig,5087
2622754,paul,mcbride,mount isa,4825
4588835,meeta,toker,port macquarie,2444
6313522,sarah,sincock,golden grove,5125
2229554,catherine,taylor,swan hill,3585
502666,robert,breen,warwick,4370
6837814,maria,gagetti,griffith,2603
4719946,alison,inkson,greenwich,2065
4064587,qui,carter,salisbury east,5109
4457804,sean,strange,glebe,2037
5768528,david,vousden,mornington,3931
3147089,leticia,magalotti,vermont,3133
4851028,david,carland,rosanna,3084
4849893,anthony,griffiths,maribyrnong,3032
1574244,barry,fielding,dapto,2530
4195690,elizabeth,paradisis,canada bay,2046
1181037,craig,hall,pottsville beach,2489
6686067,scott,kennedy,walkerville,5081
5920318,edna,wong,pyrmont,2009
4326777,john,wentworth,wyoming,2250
2884986,benjamin,lesiak,quakers hill,2763
1049979,gertrude,tomerini,melton,3337
3147137,gary,martin,maryborough,4650
787848,ruth,casey,greenvale,3059
5768587,laurence,chierchia,ashbury,2193
2885004,kathleen,tan,campsie,2194
1967504,amanda,oldroyd,coburg,3058
5244319,maria,white,scoresby,3179
1181089,joanne,johnston,grenfell,2810
3671468,maurice,peters,east perth,6004
5375405,hwan,barkhan,bellevue hill,2023
6817200,anna,buttita,croydon,2132
3147185,ngitngo,roe,lugarno,2210
5375412,sarah,mckinnon,curlwaa,2648
2885052,peggy,woods,castle hill,2154
5899711,nicole,mcgee,bilambil heights,2486
1050052,gwen,belcher,forbes,2871
5768647,tristan,fleming,rockingham,6168
3016136,craig,bolletta,frankston,3199
6424009,jeannie,smith,lowood,4311
3409359,robert,woodford,hamilton,3300
5246203,emma,howes,cronulla,2230
6161886,melissa,bishop,caringbah,2229
5375460,mavis,hyams,mulgrave east,3170
4720114,cynthia,fogarty,marayong,2148
6817273,margaret,walding,loxton,5333
2360837,helen,agliati,doveton,3177
132615,vassiliki,lui,pyrmont,2009
132617,diane,sneesby,pyrmont,2009
1443340,francisco,healey,picnic point,2213
263695,michael,allan,gilles plains,5086
5637652,janet,crompton,nerang,4211
4982302,john,cagney,paxton,2325
5113381,olivia,lee,scoresby,3179
5768746,deborah,oliver,beverley park,2217
1443371,desmond,cerra,avondale heights,3034
1181232,timothy,cowan,knockrow,2479
1050161,bree,bellgard,toongabbie,2146
525880,noel,williams,werribee,3030
3278410,richard,poon,hurstville,2220
263760,joyce,pradhan,vermont south,3133
3671641,jim,jakobs,tallygaroopna,3634
1312351,graeme,longmuir,palmyra,6157
4458082,andrew,pegler,inglewood,6052
2492006,robert,russell,metford,2323
1705575,rubina,bell,cootamundra,2590
5113454,marjorie,harris,moonah west,7009
3802735,bruce,hellewell,tregear,2770
5375603,stephen,mann,hampton,3188
1312372,samuel,williams,inverloch,3996
657016,arthur,stace,woodville,2321
3802749,helen,cooper,bundaberg,4670
3278464,maria,cottee,mosman park,6012
2885253,william,palanca,buninyong,3357
1312398,michael,malcolm,pretty beach,2257
5506707,joseph,schoemaker,tingalpa,4173
5899924,robert,fenton,macleay island,4184
2098837,katrin,taylor,fremantle,6160
4720292,john,raaymakers,st kilda east,3183
919206,deborah,brazel,hendra,4011
6031015,donald,cox,grafton,2460
3540650,maria,townsend,west ipswich,4305
6031027,michael,floro,stafford,4053
1312436,chahine,doolan,springfield,2250
788151,prasad,barbour,heidelberg west,3081
5899965,gretel,bagley,highett,3190
2885311,terrence,hietbrink,eleebana,2282
3802820,kerry,amiet,coonabarabran,2357
6031049,morea,nguyen,salisbury downs,5108
2492107,robyn,scott,nudgee,4014
6293197,bernard,bufo,yangebup,6164
5244622,sylvia,fox,little mountain,4551
5244624,cindylee,chatteris,torrens park,5062
3933919,leone,sachs,hunters hill,2110
4458217,edmond,butler,mosman,2088
4065005,michael,rowan,branxton,2335
6686446,janette,o'brien,collingwood park,4301
5113601,margaret,stenhouse,narrawallee,2539
2623245,parikshith,smith,nerang,4211
1807,amanda,adolphe,northbridge,2063
6424336,lucy,harris,coobowie,5583
6031123,jacqui,currington,salisbury north,5108
526106,khaled,singh,kogarah,2217
4065051,linda,pusterla,lancefield,3435
1574684,winifred,lasker,armidale,2350
4458284,mai,mattingley,raymond terrace,2324
6293298,mary,lahey,randwick,2031
2492224,mathew,mcgrath,turill,2850
132929,paul,ryan,toronto,2283
2293630,jon,frazer,lugarno,2210
3934023,trevor,qureshi,liverpool,2170
5586648,jennifer,chalmers,robina,4226
2623309,annalisa,donnelly,cumborah,2832
1181521,shlomo,pamamull,camberwell,3124
5375832,bridger,mcgavigin,burleigh waters,4220
919400,patricia,brunton,avoca north,2260
395115,dawn,taylor,jerilderie,2716
2994124,christopher,driver,ringwood,3134
395120,fay,gomez,wiley park,2195
1181573,sau,millett,st james,6102
2623368,graham,michalowski,largs bay,5016
5900178,israel,ringland,eden,2551
4458388,donna,little,salisbury,4107
6817691,bruce,holmes,maryland,2287
4196268,kateena,reilly,north ryde,2113
1965,faulkner,chappelow,coopers plains,4108
1595037,rocky,schubert,mount gambier,5290
6817728,yuen,parker,pingrup,6343
3672002,julie,chappell,davoren park,5113
919491,bryan,thornton,hawthorn,3122
6293446,dorothy,walton,wakerley,4154
1050585,john,sime,grovedale,3216
2623450,peter,woodman,kaleen,2617
2754523,gregory,ralph,farmborough heights,2526
371706,diane,henry,queenstown,7467
4458466,anne,schuemaker,hamilton,2303
5507052,cheryl,zambelli,reservoir,3073
5507063,conrad,mcdonald,horsham,3400
3934202,maurice,thorne,beechboro,6063
5638139,david,vallance,smythesdale,3351
395266,dieter,wallace,kialla,3631
3016707,ruby,ingham,rollands plains,2441
4982802,sharyn,baker,trinity beach,4879
1181717,tina,purins,wilson,6107
6555676,barry,southcott,bundanoon,2578
2623525,kellie,hayes,currambine,6028
4720691,raymond,king,bushy park,7140
1968180,david,kim,strathfield,2135
6031418,tim,wilson,malanda,4885
1100902,dean,attard,bass hill,2197
5638207,james,ashmore,ngunnawal,2913
133190,ivan,daoliveira,annerley,4103
4851788,graham,turton,dingley village,3172
2492495,phillip,creighton,middle park,4074
2337806,john,rofe,carlton,3053
1181785,may,stevenson,clayton,3168
2230369,ann,higgins,macleod,3085
3672165,sharon,chute,weston,2326
6424688,scott,brook,sturt,5047
3147904,trevor,hartsuyker,new lambton,2305
1050762,anthony,haywood,blackheath,2785
133259,kevin,palmer,yallourn north,3825
4458640,esther,mason,surry hills,2010
919698,anthony,martin,wiley park,2195
5783063,colin,baldwin,cleveland,4163
3934386,paula,thurbon,newport,2106
4851894,thomas,white,ashwood,3147
3672254,mary,mcgarry,alton downs,4702
264385,simon,russell,nunawading,3131
4327638,warren,van haaster,skye,3977
3279070,robert,dwyer,subiaco,6008
1444064,alfred,allen,kirrawee,2232
5376232,rosemary,fitzsimon,arncliffe,2205
3541233,benjamin,campion,beechwood,2446
657664,desley,miranda,dianella,6059
657676,anthony,copeland,cannon valley,4800
4851981,nola,symons,redbank,4301
3410213,sharon,chiuchiarelli,greenvale,3059
4065574,james,dibiase,campsie,2194
3541289,robyn,o'hearn,hillsdale,2036
3541293,phillip,mrove,wantirna,3152
4196654,anthony,russo,north isis,4660
2230576,daryl,nelson,mudgee,2850
1837373,james,turner,bowen hills,4006
6555967,janet,budds,junortoun,3551
6488459,christopher,owers,queanbeyan,2620
5964172,richard,taylor,kedron,4031
6162774,elizabeth,biss,mount gravatt east,4122
2393,catherine,mccolley,berwick,3806
1837402,georgios,smith,merredin,6415
5376357,mark,horner,milperra,2214
4852074,nahla,purtle,box hill,3128
264555,julie,tierney,oyster bay,2225
2886001,tetyana,oates,wangaratta,3677
1444213,ralph,rose,dee why,2099
4458871,hsien,miller,mount nelson,7007
5876799,yi,lamos,palm beach,4221
4852093,daphne,murray,wulagi,0812
2230655,earleen,chappell,tweed heads west,2485
5376388,janet,hetper,oxley,4075
2440,shane,sestero,east innisfail,4860
2099595,luisa,atmadja,booragoon,6154
3279246,rebecca,johnston,north strathfield,2137
788887,david,cargill,palmerston,2913
2099612,maria,lenthen,waverley,2024
5900705,janette,halliday,kings point,2539
3148196,colin,de guzman,blakehurst,2221
4065701,donald,hpam,blair athol,5084
1879111,hedwig,brasch,ainslie,2602
6818220,heinz,brittian,guildford,6055
264636,kenneth,anderson,strathfieldsaye,3551
2755014,peter,kirlis,donvale,3111
4915617,david,fuller,dover heights,2030
1706440,darlene,barnes,kingscliff,2487
1051083,eleonor,marshall,coopers plains,4108
2099662,mark,deutschman,bogangar,2488
788947,james,shiu,granville,2142
2623957,david,wilson,surry hills,2010
2886109,polimnia,ong,kogarah bay,2217
2755039,graeme,irving,mount lawley,6050
2230756,antonia,li,burwood,2134
5114341,yi,wendt,beckenham,6107
2886119,stjepan,lugosi,kew,3101
5114353,paul,cocking,largs bay,5016
526835,robert,wittick,bell park,3215
5638645,carmelina,rankin,broken hill,2880
2755068,bonhue,hadlow,mount stirling,6410
3672577,frances,solomon,maroubra,2035
2230786,graham,jones,kingston,7051
5245476,geoffrey,batge,semaphore park,5019
2230821,verna,atkins,dalwallinu,6609
5114409,martin,tucker,helensvale,4210
1575466,erwin,zhan,croydon park,2133
5769774,daniel,fullick,heatley,4814
5376580,katherine,mclaren,hamilton,3300
5638726,john,fletcher,maryborough,4650
133704,ying,spalding,wandsworth,2365
4459095,florence,schulz,traralgon,3844
3017305,ryan,kelly,pyalong,3521
6031974,joan,reinke,gaeta,4671
3148395,nathan,goulmy,bulimba,4171
4590189,bruce,crouch,russell island,4184
4065903,leanne,rafferty,coffs harbour,2450
4721269,myrna,techgain,burleigh waters,4220
6294135,ian,nguyen,auburn,2144
4852354,neil,claydon,charleville,4470
2624134,kevin,arkley,mowbray,7248
3803784,greg,french,northam,6401
1706635,michelle,anderson,panania,2213
3803788,lily,clow,monbulk,3793
4338423,stephen,potok,darling point,2027
395926,ling,goodley,lima south,3673
5376664,ching,arnold,como,2226
658073,geoffrey,walker,greenwith,5125
1575582,pamela,milne,upper coomera,4210
4721315,marina,horn,caulfield south,3162
3279527,nina,mclean,kingston,4114
2493101,michelle,garland,essendon,3040
6032046,geoff,travers,coffs harbour,2450
3934895,peter,urzua,smithfield,2164
658108,troy,pearce,kinross,6028
3803837,jane,gornalle,charters towers,4820
4328126,risto,griffin,beechboro,6063
6687426,peter,del casale,quinns rocks,6030
3803843,robert,souris,lurnea,2170
2206839,alexander,howard,wagga wagga,2650
6556369,anthony,mcpherson,mount gravatt,4122
5132768,rita,brittain,cleveland,4163
3148505,michael,buckland,parklea,2768
264922,elizabeth,oakford,northcote,3070
6163163,lynette,muller,roleystone,6111
3017463,paul,gooding,sale,3850
2755326,doreen,dallas,bligh park,2756
1837827,ailsa,austin,caringbah,2229
2886414,jenny,wassell,wyoming,2250
3146202,keshavlal,mcerlean,gowrie junction,4352
4852519,bao,worbey,warrane,7018
6425387,damian,reichert,wynn vale,5127
4328251,ellen,parera,st albans,3021
5245764,zeta,strong,ballina,2478
6182710,katherine,cole,box hill,3128
396103,lindsay,willimason,south yarra,3141
2493259,mark,hobson,reservoir,3073
920401,sakran,macdonald,wycheproof,3527
5638999,eleanor,knuckey,middlemount,4746
1706841,donald,wapper,paskeville,5552
6163291,jill,dobson,kotara south,2289
2755420,christine,bowyer,mount lawley,6050
3541855,gordon,spagnolo,horsley park,2164
1051488,klaus,barrett,tewantin,4565
789354,tamila,studholme,woombah,2469
2886508,edward,stewart,boorowa,2586
6425460,russel,johnson,karratha,6714
1837947,darryl,strassmaier,dandenong,3175
4066172,reginald,borovicka,cremorne,2090
920447,helen,pellen,mount gambier,5290
1791808,margaret,pragnell,kew,3101
1837955,margaret,hennessy,coffs harbour,2450
4066181,craig,valladares,ferryden park,5010
2731160,brett,buckle,tuncurry,2428
1444755,marilyn,hughes,glenrowan,3675
3541925,paul,nucifora,paddys green,4880
2755494,gregory,moyne,kings langley,2147
2755495,jared,daniel,brighton east,3187
1051564,allan,hicks,elizabeth grove,5112
3804089,lauren,nguyen,bankstown,2200
265148,brian,machado,oakleigh south,3167
4983743,angela,andersen,narara,2250
5245890,priscilla,ocello,preston,3072
1182659,glendy,biasutti,high range,2575
3279822,steven,ness,grose vale,2753
590329,luke,barker,balnarring,3926
4852702,elaine,miller,bobin,2429
5770214,lynne,ronalds,mirboo north,3871
3279862,wendy,lavender,barraba,2347
6687741,grace,kelson,warrnambool,3280
5245952,john,apostolidis,allawah,2218
265223,con,barton,glenelg south,5045
1838100,eileen,knapton,bli bli,4560
1313817,tore,urer,narre warren,3805
4983835,leo,goldsmith,stawell,3380
4852766,george,halloran,stanthorpe,4380
4066342,fung,king,reservoir,3073
4066346,ivan,cassimatis,cowley,4871
1838131,lorna,v'thaver,bondi beach,2026
4197432,gayle,paxton,candelo,2550
5508166,suzanne,johnson,redland bay,4165
1051721,ingeborg,coustley,rosebud,3939
1838154,joseph,pyke,glen huntly,3163
4852816,yvonne,mcnaught,woodridge,4114
5114967,parthipan,montagnana,rye,3941
396379,derek,bryan,evandale,7212
4983939,robert,mihalic,footscray west,3012
4590732,karen,speed,northcote,3070
4197520,kenneth,holmes,mill park,3082
1051797,diane,woods,peak hill,2869
920728,luis,scott,currajong,4812
789657,elaine,doyle,woodford,2778
4459675,barry,moore,beulah west,3395
2362524,barbara,jurgenstein,tallangatta,3700
5246116,bret,king,wheelers hill,3150
5639343,laura,chanthalasy,cluden,4811
1838260,nola,funnell,kellyville,2155
1445046,gordana,harun,south hedland,6722
5246135,catherine,sungkar,hillsdale,2036
1313983,charles,o'byrne,everton park,4053
4721863,nigel,searle,ceduna,5690
920776,cyril,murray,thornlie,6108
658636,bruce,dick,south melbourne,3205
2493659,damien,merryfull,greenfields,6210
3411164,joan,smith,fairfield west,2165
4459754,hung,morath,lurnea,2170
2231534,sieglinde,wrenford,douglas park,2569
6032624,rene,parker,manly,2095
1838328,gary,tassone,kenthurst,2156
6425851,lynette,grech,canley heights,2166
3935487,helen,oiso,wishart,4122
396545,theresa,saville,valley heights,2777
920835,francis,orr,dundas,2117
3280135,jan,ambrose,st albans,3021
5377288,john,millar,oatlands,2117
6032665,john,munsel,leanyer,0812
4459811,wendy,broad,rockingham,6168
1183018,herbert,daniel,red hill,2603
3935531,jeffrey,thompson,torbanlea,4662
5901615,gerda,smith,bungendore,2621
1576242,jodie,combley,molloy island,6290
4590899,margaret,betts,krambach,2429
3935540,stuart,mcintyre,forrestfield,6058
5246265,abel,shaw,ashfield,2131
3804474,amelia,munro,kensington park,5068
3542333,merle,horsnell,richmond,3121
4853055,douglas,johnson,aspley,4034
6819138,craig,moffat,campbelltown,2560
3280203,jan,mckee,annandale,2038
265562,ricardo,bennett,wahroonga,2076
6425947,ulhee,watson,balwyn,3103
1838446,raymond,ward,richmond,3121
2100592,alex,kennedy,wanguri,0810
4459889,rebecca,rudan,st ives,2075
396660,margaret,sole,kiama,2533
1052027,elizabeth,minett,munster,6166
1183108,hayden,simpson,jamestown,5491
1445258,barbara,harley,nedlands,6009
3542419,michael,lau,wishart,4122
3542421,the,blott,selby,3159
3280286,barbara,welsh,ivanhoe,3079
6032808,helen,shalders,montrose,3765
4853162,karen,tuck,coburg,3058
5246383,gabriele,collins,echuca,3564
1838513,caroline,bairstow,corrigin,6375
3018170,hon,johnston,mollymook,2539
5508544,ian,o'neill,quinns rocks,6030
3411395,tammie,rutherford,pleasure point,2171
2756036,chi,wilkins,broadbeach waters,4218
5901767,dawn,west,ferny grove,4055
658888,jennifer,slicer,claremont,7011
1969618,sharon,barnes,st albans,3021
6163924,andrea,lam,mirrabooka,6061
1969626,john,prescott,mount warren park,4207
4806565,ai,hollyer,mount tamborine,4272
1969640,bryan,adams,north rockhampton,4701
5901803,tony,holmes,kingsford,2032
5115377,annaclaudia,agnew,watsonia,3087
2100723,xin,booth,terranora,2486
1969654,jeanette,louey,glen iris,3146
6032890,pearl,lawler,kilmore,3764
3673600,christine,files,marsden,4132
3673613,susan,bennett,calwell,2905
1445392,ruth,ward,manly,4179
265746,kelly,furness,loxton,5333
1813763,eric,matthews,laidley,4341
3411484,laura,grice,geilston bay,7015
3542563,victoria,durrant,maleny,4552
6032936,graham,stacey,tungamah,3728
2887210,graeme,lewis,old bar,2430
4347826,christopher,peng,highgate,6003
6819374,robert,bowyer,cranbourne,3977
2971571,nicholas,tam,toowoomba,4350
4197945,frances,elias,sunshine,3020
4853307,steven,sutcliffe,randwick,2031
3804736,cheryl,adams,church point,2105
6164038,reg,lawson,frankston,3199
6032969,john,pascoe,lake albert,2650
2362955,alroy,guest,manly,2095
6426193,michael,byrne,indooroopilly,4068
265811,laurence,texier,bellingen,2454
4066921,john,weckert,prospect,5082
3542639,joseph,stevens,st andrews,2566
5115505,susan,keane,randwick,2031
6688373,allan,murray,manunda,4870
6426244,bohni,hopkins,deniliquin,2710
4460165,narelle,kligerman,wantirna south,3152
6426273,elaine,midwood,charters towers,4820
3018414,brian,yeung,noble park,3174
2363057,peter,poznovija,padbury,6025
3280573,katrina,rose,berwick,3806
659134,shane,tyler,south hobart,7004
6164162,sonja,gillen,esperance,6450
790213,lynne,cregan,bentleigh,3204
5508807,lukas,asmus,cranbrook,4814
3673815,sandra,king,glen waverley,3150
528090,mick,bail,healesville,3777
5377759,jacqueline,rutherford,armadale,6112
3149540,andrew,lewis,nambour,4560
2494183,susana,byrne,lower templestowe,3107
3411695,marno,wood,cottesloe,6011
6033138,anthony,pearce,glenbrook,2773
3280632,marylen,bevan,brighton south,5048
109867,amy,ware,redlynch,4870
3845,margaret,duncan,glebe,2037
2756366,karen,catterall,dalwood,2335
4984592,donna,small,carramar,2163
1969944,fiona,segura,brighton-le-sands,2216
266009,jill,madon,mitcham,3132
6426400,denyse,barry,darlington,5047
5902117,yvonne,mcdonald,rochedale,4123
397094,ae,booth,creswick,3363
790316,steven,spence,windsor,4030
3673903,murray,roxborough,south perth,6151
5527518,sandra,doyle,keysborough,3173
5639991,andrew,chen,malaga,6090
1838909,john,lineen,lara,3212
6164292,craig,chesterfield,hawthorn,3122
5115724,karen,bok,townsville,4810
1791971,neville,wong,hurstville south,2221
6557533,christopher,foldesi,gowrie,2904
4591457,michael,connolly,st albans,3021
1445732,brenton,bullivant,coffs harbour,2450
5115752,carmel,meilandt,cleveland,4163
3673980,elizabeth,percival,narrabri,2390
5902209,shaun,funnell,newport,2106
6164355,lynley,rayner,richmond,3121
4853640,kerryn,niceforo,greenvale,3059
790417,yvonne,kerruish,seaton,5023
1183642,doris,guerin,tingalpa,4173
5246878,geoffrey,mieville,randwick,2031
3674015,marilyn,evans,moonta,5558
1314722,sharon,anderson,redcliffe,4020
5509036,terry,beer,wilberforce,2756
2232240,yvonne,jessop,cobargo,2550
1576885,cecilia,rogers,dundas,2117
2232253,sonia,masters,manunda,4870
