recid,givenname,surname,suburb,postcode
4589495,kevin,hughes,blaxrand,2774
375717,dennis,watson,koraki,2471
3472275,ka6hy,cregan,leeton,2705
4842647,vicku,stewart-moore,townsville,4810
4184009,javati,allison,hawthorn,5062
610557,bernice,de vries,mansfield,4152
1093079,karolyn,hovghton,gymea bay,2227
479296,michael,mueller,coril,3214
4320723,myung,morison,castle hill,2154
2910628,rhonda,fraster,enoggera,4051
6759543,leela,jamss,fitzroy north,3068
1808906,mary,albertt,traralgon,3844
3712042,simon,br0wn,manly west,4179
5310030,sesirekha,wyness,burleigh heads,42z0
4022148,candi,grimmett,gray,0830
4443862,ajlan,pritchard,bankstown,2200
6111942,marueen,francis,geelong south,3220
6899793,ngoc,rasmussen,heathciote,3523
6100349,nick,kluge,hope vslley,5090
6084528,bronte,turnbll,seaford,3198
6336588,aimee,champness,new lambton,230s
3717531,donba,spidalieri,st ives,2075
2300269,ivan,taylor,kreen head,6514
460458,philomena,healy,pacific paradise,4561
3048408,tricia,ellius,ruse,2560
2882268,mark,grimmett,woodrirge,4114
290341,david,engoish,mosman,2088
3694869,erik,jameson,adamstown,2289
753664,zs,young,lugarno,2210
1406205,derek,harder,lake heigjts,2502
2176672,de,lawspn,evanston,5116
2056624,samuel,hatzipavlis,northctoe,3070
3605220,braq,rahman,dulwich hill,2203
3948426,joa,pigram,sunnybank,4109
559391,joanne,pierpoint,woolnona,2517
5789121,pauline,gillies,zouth hobart,7004
2795360,charles,boys,morwell,3890
177225,wendy,benniin,wynyard,7325
2661178,shirleu,craig,erina,2250
2514353,robert,ripberger,clifton beach,487g
6053483,ke,wi1>isono,haymarket,2000
3072574,limda,papoutsis,greenacre,2190
1055454,davdi,tetzner,biggera waters,4216
4766698,loyse,smith,mullaloo,60z7
314208,ge0ffrey,finnerty,dingley village,3172
4557911,shauna,blak,chuwar,4306
6871038,lindq,carrolan,trafalgar,3824
208437,patrick,clanchy,kippa-ring,402l
6676811,susan,ngo,nunawadink,3131
6507300,christopher,barrie,ninki,4511
1471137,terri,okamoto,cremorne,2099
1297673,alab,jeffries,condobolin,2877
877141,joanne,grgg,engadine,2233
1481084,barry,bigmotre,st arnaud,3478
6159128,kathleen,curnow,albert park,50l4
1660338,stegen,jefferson,davistown,2251
6663699,annette,nadirz,bonbeach,3196
2337032,davod,deprazer,springvale,3171
2448759,louis,taylor,oatley,22z3
4020428,rebecca,cnaavan,rivett,2611
2499791,tomas,thomson,reservoir,3073
6140252,brian,karamoskos,airport west,304z
4292029,prem,slels,bellata,2397
2021565,julie,meredith,wyong creek,2256
1075289,glenn,richardson,altnoa,3018
717433,kathrtn,ryall,wollongong,2500
3990537,evelyn,rohrlach,nortb maclean,4280
6829891,jsne,nguyen,canley vale,2166
220991,daniel,katelan,kirwan,4817
1857990,ross,brovvn,quakers hill,2763
6690361,carpl,dukes,moe,3825
5760666,qun,prichard,noonamah,0837
85862,adam,fetterplace,osterley,23z4
2074113,gordon,d'ardenne,nethreby,5062
263246,susan,berrv,old bar,2430
287292,kennet,tietjem,st george,4487
3426047,gerald,ng,wantirna,31s2
6603372,leo,shume,alstpnville,2477
3889897,anthony,denning,redladn bay,4165
3183296,janne,tayier,daisy hill,4127
1126389,donna,gust,glen wamerley,3150
1414340,arthur,cooke,bexwick,3806
6899015,sonia,aronis,narara,225o
2480005,cecil,squires,noo5aville,4566
5841065,linda,jarmsin,kensington,5068
6776994,lan,andgerson,salisbury,4107
2582139,daniel,lawson,runcoahn,4113
1034867,david,frankis,greenbank,4124
3735467,chriwtopher,mcconkey,berridale,2628
6195329,gerard,duggan,sandford,7021
1121092,ellbn,hannan,long jetty,2261
4566055,gordon,dvff,mount magnet,6638
294317,domeniko,turnham,port macquarie,2444
3048982,robert,puhovac,frankston,3190
597000,pol,smith,mowbray,7248
2653574,rodgeir,shabestari,canterbury,2193
601174,kenneth,partridge,deer park,30z3
3942286,janet,suttn,embleton,6062
1716340,susan,beams,wattle grove,2l73
1673719,qi,reeves,margate,4016
6421701,jennifer,goodnch,inglewood,4387
2683766,suchintha,mainy,erina,2250
4079219,gabriel,fowler,banora point,2481
2715185,laurence,andrads,preston,3072
2813864,stephanie,boddy,grange,4851
5466181,malcolm,briggs,herbertob,4872
3904697,cristine,giannetti,essendon,3040
3650326,paul,lapins,thornleigh,2110
1283486,hugh,barrett,amar0o,2914
5331341,alan,wouters,heath hill,398|
2340599,gregory,zullo,haberfield,2042
2259553,ckim,burchell,port lincoln,5606
6877153,gregory,dev3r,hurstville,2220
5219886,rosd,lilley,frankston,3199
5608415,reginald,carmichael,agga wagga,2650
548774,robert,khuan,glen waverley,3154
1422690,james,lambert,t7mbi umbi,2261
2325012,yari,hallam,wodonga,3690
5781226,ivy,rouae,prahran,3181
6707880,jason,danckwardt,green yalley,2168
307524,kazuto,mccoll,nerang,4211
3021050,maree,scott,ejsendon,3040
5224179,kevin,batts,lake cathie,z445
92411,maria,plumb,eltham,3097
3198322,xuemei,daniels,marvborough,4650
2437678,phyllis,wilson,wagga wagga,26s0
744876,dianne,swindells,clarrmont,7011
4465702,caroline,cruickshank,gwelup,6011
2475204,edward,conn,burleugh heads,4220
4213331,jennifer,huxtable,port noarlunga,5|67
1400162,noeline,karanicola,mansfield,4128
4027598,ghazi,litfin,thornton,434|
5726985,marno,yin,south yarra,3141
1530976,antonia,sherlock,serpemtine,6125
5892926,barbara,scott,broken bill,2880
1225229,gregory,lea,elizabeth east,51l2
1010554,rachek,hogan,dubbo,2830
363678,tanya,ruttek,jindalee,4074
4308969,jane,fro5t,cheltenham,2119
2541873,james,roffey,windso5 gardens,5087
2741802,lesley,battersom,green hill,2440
2899546,wink,clarke,salisbury,4107
4801625,beryl,horgan,pasco3 vale,3044
4926229,hsinping,pellicano,bunbury east,623o
4933084,helen,hecker,maryborough,465o
3060940,tartyn,minns,strathpine,4500
2768134,gavan,harford,murray bridge,52s3
6811416,zohn,cleave,shepparton,3630
1755610,eric,mcdojell,penshurst,2222
6738234,marco,lanham,conondale,45s2
1714820,vikki,blomquizt,traralgon,3844
867398,alisin,parton,cranbourne,3977
3308448,carolkne,dean,moonah,7009
472927,paul,quinlan,toowoosba,4350
1403033,treena,armistead,colac,32s0
6346910,brett,richardson,toowoomba,43s0
306060,joann,grohn,pacific haven,465g
4139966,grace,mcnulty,ocean grove,32z6
3975497,mark,harrison,armidale,2355
1768191,darrel,lowry,north sydney,206o
3872586,gavin,dodds,box hill south,3|28
3125130,fatima,boom,hilton,5033
3263531,elizabeth,anderson,bedford parck,5042
1179319,vanessa,dickson,pega,2550
6041104,taya,wallace,norseman,6443
4001522,marv,brown,brighton east,3187
4049922,richarcl,anderson,sandy beach,2456
4532870,dyan,nye,bateman,6130
3697658,adam,magee,middle dural,21s8
3931425,dv,irving,pretty beach,2257
1762066,richard,weyland,murryy bridge,5253
2327456,yem,freedman,ferntree gully,3155
2879819,ken,mourad,rockdale,2210
3107018,alfred,li,chatswood,2067
4694408,nerroille,tikley,ashwood,3147
2757817,beryl,lam,donval,3111
3858357,irene,nesle,glenfield park,2650
4629888,richard,mitchell,yantina,4561
2968752,rhonda,donnelly,cheldenham,3192
3452784,steven,nix,kotara,228q
3791257,maria,le,cabranatta,2166
5867409,barry,smlth,toowong,4066
6695265,kumiko,smith,stanthorpe,4385
2017236,kary,conlon,the gap,4061
3356476,oleg,mcmorron,middle parlc,3206
4319892,robert,ws2ola,wembley,6014
3601780,janet,suvarmasara,hawthorn,3122
3721049,dannielle,palmir,carlton north,3054
1019913,genevieve,viera,hoxton park,217|
6178297,shaulmeir,cooper,north turramvrra,2074
2744788,gerard,redi,caringbah,2229
6863944,delma,kowalski,gladstone,4681
3777920,alex,gvo,prahran,3181
4414621,robert,clarke,newpord,3015
3946322,liem,chuck,mount gambier,5297
2583791,bang,wilton,parkville,2338
2705373,norm,washington,christies 1>each,5165
5940496,dong,vaahney,laidley,4341
6332986,phillip,o'reagan,cow bay,4879
3358426,davvn,o'shea,albury,2640
4956481,michael,cormick,belmonr,3216
536218,marie,forster,greenslopes,4120
3906414,heidi,bastso,nundah,4012
3855073,rachel,collins,mullalio,6027
1816726,elizabeth,de bear,higgins,26|5
4687154,valeri,meyer,marino,5049
4087145,charlotte,eatom,dodges ferry,7173
1837693,matyhew,coles,dee why,2099
5256633,inderjit,hudd,quean1>eyan,2620
5394593,andrew,george,leichbardt,2040
1312717,paul,wigley,concoahd,2137
1734141,jusrgen,aldridge,gumeracha,5233
2735506,caroline,mitrastinovich,boulder,6432
2532168,anne,stewart,salamandrer bay,2317
3240797,marja,scicluna,keilor downs,3038
3541136,keiyh,elsegood,semaphore park,5019
3003062,norbert,varsin-coad,ashmore,4214
4178712,deborah,drury,wo0dcroft,5162
3851473,jennifer,dunipace,mount tambonne,4272
1262561,justiniiano,faulkner,dubbo,2830
1972312,adam,sriratanakoul,wakeley,2186
654829,charl0tte,taylor,horsham,3400
2888519,lindsay,clarke,com0,6152
5980056,michelle,kahler,railway estate,48|0
3352416,lorraine,robertson,south yakrra,3141
1052340,jonathan,wilkinson,lechhardt,4305
3175363,toin,alcorn,st george,4487
540926,marjory,dlew,kedron,4031
1882425,janife,foster,belmont,2280
4523989,leigh,talevdki,rockdale,2216
4907884,kelvij,vervest,clifton springs,3222
4118143,jeffrey,martin,attada|e,6156
5492517,barbara,oconnor,golden square,3585
6817834,adrian,spurge,kingston,70s1
932762,nola,dorman,roleystone,611|
364905,franca,a1rubayi,punchbowl,2196
797643,patricia,normand,noosaville,4s66
1219113,peterk,jacobs,randwick,2031
1419602,marion,wallace,csmira,4300
813087,dayid,hallett,redcliffe,4020
5184628,kee,davies,arundeo,4214
3019227,yun,summons,castlw hill,2154
6897328,helen,shalrs,port macquarie,2444
4010992,william,king,stockron,2295
5352661,panajiota,williams,kingsley,6026
688452,john,scott,albury,26q0
4250451,malcolm,sdott,mudgee,2850
6227370,kazimier,kearns,riverside gardens,6210
4569116,jill,bradlev,strathdale,3550
6597589,phillip,mckane,lara,321z
1949374,travis,schlack,berala,214|
3058864,katbryn,nicholson,glen iris,3146
3015510,yuk,andtews,hamersley,6022
1272607,ths,wykes-herbert,gunning,2581
6095032,mona,telzlaff,curoydon,3136
5386409,jennifer,gates,okean grove,3226
5884389,anna,baldi,kongupna,3633
6794003,norma,innes,mount pleastant,2749
5827039,lorraine,kavalwe,pyrmont,2009
2826133,zulficar,tabone,tullamsrine,3043
5150977,qi,brown,sunbury,3439
4946782,jason,seng,north melborne,3051
1126067,patricia,tarrod,dee why,2099
4584411,michelle,saluano,eaglemont,3084
2335777,shane,brack,denman,2398
1857955,claire,morrow,casijo,2470
2151414,michelle,batesin,birkdale,4159
4033378,zune,greenleaf,waverton,2060
4379859,lyndlel,dickinson,oakleigh,3166
523851,lui,mulier,elermore vale,2287
5032817,shuk,cowam,glenfield,2167
902794,janina,brewer,noosaville,4506
6415882,david,jensen,tregeagoe,2480
3250154,jodi,gebert,wentworth,2646
1330580,alison,raxwortby,swan view,6056
5779664,maureenu,heath,heddon greta,2321
296335,alistair,pollock,ratmhines,2283
4734098,margaret,oen,toorak,3142
5275991,jacqueline,murray,balcatta,6081
1968873,suzanne,johnstone,brokpn hill,2880
2994227,thomas,mcauley,rydalmere,z116
1811064,arturxo,lee,cherrybrook,2126
2862657,brian,dovvling,davoren park,5113
1677390,suzanne,callaghan,reseyrvoir,3073
236260,emanuel,zawistwoski,port noarlunga south,5167
6499685,pascale,siciulla,taylors lakes,3038
2313845,peter,fisjer,newport,2106
1448728,julianne,robinston,hillcrest,4118
2394670,jon,rixon,biloela,4715
817232,lisa,booth,amilton,2303
21250,jlaour,parfitt,gutchy,4650
5989840,jeremy,dofx,lucas heights,2234
5968286,yo8ng,smith,chelsea,3196
4267814,rat,haryey,rollingstone,4816
1428149,angela,lim,ke,3101
3898315,alexander,thoms,bardon,4065
461667,renee,shericf,moggill,4070
6002443,allan,jamieson,quaama,255o
754508,frederick,meller,wymnum,4178
4013549,darrell,purceli,broken hill,2880
5911471,gillian,belgrove,shalvey,2790
4798718,roberto,chan,puncybowl,2196
5732146,david,bardetta,kingsforcl,2032
809951,roberto,terkuise,caulfield,3162
889159,katrina,pooje,wyoming,2250
6864919,zoan,bishop,croydon,3136
1350696,tong,eccjes,ferny creek,3786
4158403,a|ida,squires,neutral bay,2089
4305654,jennifrr,mitchell,bega,2550
3788844,leanne,markogv,kensington gardens,5068
2459647,clifford,hargraves,windsor,403o
3463399,donald,hurit,merrylands,2160
4485174,raymond,fernbach,geel0ng,3220
5094009,panela,smith,south kempsey,2440
4904316,ben,cook,scone,2338
3184799,barr,hulett,heidelberg heights,3081
1524358,helen,dobrow,noraville,2z63
3073797,lee,liu,narre warren north,3806
3153580,barry,gray,fairight,2094
3016040,inns,mahoney,mount gambier,5290
3507092,mohamed,thonas,launceston south,7249
4920619,ngoc,stevens,mount eliza,393o
4775148,trevoah,taranto,patterson lakes,3197
6113489,wayne,powell,norty rockhampton,4701
6631760,david,mazalevskis,forrestfield,6158
6168710,petrena,mendolia,fremantle,6150
871334,raymond,ward,bogangar,2988
274833,richard,blackburn,vincentia,2530
6038460,an,blake,dianella,6059
1541913,vittoria,griffin,batehaven,2506
1391533,maureen,mibus,walkwley heights,5098
4203599,shanthil<umar,hewett,kingston se,5275
6070958,jurge,cutting,maroochydore,4558
4419906,doreen,taw,katherine,0850
6523148,raymond,hlton,padbury,6025
5420030,rhonda,boahzi,stratford,4870
6106335,leonard,parki,east sydney,2010
1376581,ronald,whkting,tarrawanna,2518
4815015,ivan,litj,seaforth,4741
1775812,margaret,bringolf,bellambi,25l8
4291882,barrv,hurst,freshwater creek,3216
3003689,andrea,passfield,ormeam,4208
1153112,kevin,auty,warnambool,3280
3528768,johfn,higham,childers,4660
6397976,jenriifer,de martini,walkaway,6528
3853999,anthony,eloise,carolpine springs,3023
6757549,jason,bury,lake munmora,2259
2924451,mary,wileltt,willowvale,4370
3397622,jennifer,taylor,highett,3199
4044088,susanne,bennett,penrith,275o
4996976,nicholas,marvca,merrylands,2160
4390,mijhtri,bicket,calwell,2905
3830711,claire,croxford,inverloch,3998
1367933,geoffrey,aitchison,lane cove,2o66
3376810,colin,curcuruto,gordohvale,4865
410412,daniel,uebergang,heidelberg heihgts,3081
5778038,brian,fanjul,elanora,4271
757317,valta,o'brien,kilsyth south,3137
4004066,denise,peefh,fortitude valley,4006
6523802,victoria,kalap4si,thirroul,2515
5835807,tonna,davis,oxenford,4210
6331538,susan,logn,beecroft,2119
3705496,zvonimir,dudley,sans soucl,2219
2758148,lorell,loughron,roxburgh park,3064
5535589,nora,anderzon,west beach,5024
598243,denise,hohf,pittsworth,4356
706043,luak,freeman,north rocks,2151
2044998,wendy,muirden,merriclcs,3916
1320052,brendo,polak,eltham,3095
1254410,timothy,thomas,mingene,6522
4621030,ca5men,steele,brompton,5007
1210132,sameh,hildebradt,sebastopol,3356
6448111,john,behrens,fit2roy,3065
1672920,john,cockley,merrylands,2165
1844065,blinda,milburn,holt,2615
2080442,connie,burke,glen4oy,3046
2405409,mervyn,opue,bridgewater,5155
3675509,craig,mcgowan,victory heivhts,6432
2155569,jeanetbe,jefferies,algester,4115
371136,kaiii,luca,preston,3072
4665382,rita,gibbs,mount evelyn,37q6
4777059,anglea,bourne,annandale,2033
4188057,shirley,wadwell,caroola,2343
1006464,sall6,goulden,runaway bay,4216
1832265,dumitru,pell,diamond beach,2430
3028676,christine,richani,para ills,5096
1926431,christine,kenyon,dal1>y,4405
2925249,heather,hand,ckiama,2533
4639960,melissa,ramm,north rockhampton,4791
3291865,tode,willmott,buderim,4556
336320,colleen,whitereat,pasadena,5042
605244,alison,farrlel,bawley point,2539
1769549,kay,anodin,nortcote,3070
3194430,john,evans,canton bezch,2263
2652023,marjorie,haley,elizabeth bay,2011
562263,iain,stooke,city beac,6015
2764656,alkan,stephenson,balgownie,2519
5909227,janice,gro5s,allenby gardens,5009
1244230,paul,watson,msoman,2088
1392549,margaret,minchinton,anglezea,3230
3113635,elizabeth,jones,devonport,7319
1596004,laine,blair,iluka,2463
4335486,tracy,make,amberley,4306
4953948,pam,weegink,morweil,3840
459671,irene,hayne,tewantin,456s
3771187,damirn,nalbandian,east lindfield,2070
6447702,wayne,doublas,west perth,6005
1079221,suszn,jones,warwick,4370
3870702,ethel,lovedt,spotswood,3015
6584556,natalie,hayne,fairfield,3o78
2866699,lynda,gundry,wangarata,3677
1172972,renato,taskiroglu,dandefong,3175
6114109,james,morgn,wirrabara,5481
5971077,patricia,galea,greystwnes,2145
938308,glynn,pattison,orient poimt,2540
2895102,steven,hughes,turramurra,2077
5564031,antonio,heidrich,st albans,3022
620889,yin,hopper,delaneyz creek,4514
6222003,evelyn,mclaughlin,waikiki,616q
6773263,ronadl,cumurovic,rossmore,2171
890805,kary,doherty,rockingham,6168
6900665,el5ie,blanch,holmesville,2286
2139870,jariet,kemp,south townsville,4810
1096751,raymond,doohey,kentlyn,2560
2292907,adaiii,fellowes,singleton,2330
4538705,josnne,searle,palmers island,2463
4568575,valerie,ckelly,brunswick,3056
639804,arkene,jamieson,huntfield heights,5163
4202376,sctot,trumble,caulfield,3162
51437,doreen,baldrv,ferny grove,4055
3485628,karol,mauceri,oatlands,2117
217360,hdlen,keech,beecher,4680
4989892,maxwell,murxay,longwood,3665
2698230,gado,dodd,coffs harbour,2450
6364733,iree,sheather,newcastle,2300
4464006,wayn,denning,ingleburn,2565
2692925,anni,dixon,delacombe,3356
2971548,robert,sahal,nordh melbourne,3051
2739809,thrmas,jackson,warranwood,3134
5284987,viona,ellabban,cranebrook,2749
1795495,peter,turnbull,gladesville,211l
5525338,bernadrtte,porter,goulburn,2580
2344520,laurei,kherkhan,auburn,2144
1456862,gail,mcclouhan,parafield gardens,5107
5565949,margaret,o'halloran,manzfield,3724
565326,enzq,chieng,carlton,3053
4784894,joyce,mccuryey,castle hill,2154
4577793,roy,garro,sunnybank hills,4109
2147685,ron,rices,victor harbor,5211
3764526,lana,clement,kiilara,2071
2819135,michael,sapwell,carina,41s2
863378,stephen,repacho|i,south bunbury,6230
1549759,rebecca,weingott,macquarie fields,256q
1543507,john,bisschops,malwga,6090
6437981,ayne,borowiec,lesmurdie,6076
2447686,les|ey,rodgers,kirrawee,2232
3297109,ronald,cowley,makuarie,2614
5539422,wanda,hoffman,rozs creek,3351
3861186,chu,keen,narre warre north,3804
1827828,joan,taylo,lower templestowe,3107
23570,malcolm,vandenberkhe,mudjimba,4564
5442644,salyl,cobb,matraville,2036
2739582,alan,johnson,nedlands,60o9
2577206,rhonda,sugars,wilsin,6107
195308,david,florance,onkaparinga hills,5164
5897141,jill,d'arth,singleton heigbts,2330
110043,sandra,hennijg,clovelly,2031
480629,michelle,kutscher,east brusbane,4169
3473434,paul,ferrij,mosman,2088
259307,toris,yap,brunswick,3056
2195986,ian,taylor,windsor gardens,5086
4840158,carol,ottaway,mount gambier,52q0
68943,daryl,archer,bunbury east,6280
4184816,jennifer,richardson,bridgeman downs,4031
5339299,athian,suter,aldgate,5154
6557499,ila,krichton,cranbourne west,3977
4831549,shannah,holland,silver sands,6214
4598335,peter,somers,sevillee ast,3139
3192664,brian,lawrence,kilssyth,3137
6777624,xinqiu,weston,eaglehabwk,3556
292515,margared,kempen,goodna,4300
5278867,neil,yates,waverley,2o24
2479043,cecilia,macmillan,southport,4235
354573,hilda,smih,rutherglen,3685
6816855,desmond,valerie,woodend,344z
3530671,taniel,saxton,moonee ponds,3039
3059648,antigoni,wickhwam,corinda,4075
1550258,maria,anderson,matraville,2o36
4948654,ronald,speechley,bundakl,4217
5430452,wsewolod,quill,summerbill,7250
5784224,joannj,van eck,balga,6061
1636386,pauline,bisthop,mount george,2424
6720017,alin,weigel,mawson,2607
1797709,nellie,white,bradbury,256o
1470852,qin,kerr,urunga,2457
2612753,rona,mahoney,waahrawong,2502
1347966,bryan,he,deer park,3023
2605550,kenneth,tsirs,malvern,3144
5329197,david,mollar5,gosford east,2250
697561,akshay,anthony,coogee,2024
5407813,shao,villella,preston,3071
5224551,irina,dungey,old noarlunga,5188
4703169,eugene,bannpster,sandy creek,5350
4725727,irix,powell,gin gin,4671
4388775,stuaet,o'connell,beaudesert,4285
4453199,brenda,jaffrey,elsternwkck,3185
1817398,dallas,cvetanoska,balga,606|
2869501,ane,shore,southport,4215
6362433,glenn,zanidpour,neutral bay,2089
3570351,graeme,syke5,brassall,4305
2678068,antonietta,neofitou,doncaster ea5t,3109
455108,suzanne,farclon,neville,2799
3216956,ronald,keysseckwr,como,2226
3737463,adriana,spicer,talbot,3341
2064033,richard,hatdy,brunswick heads,2483
4434020,alva,hojking,emerald,3782
1704785,ed:th,askew,mount lawley,6050
4112227,christkne,allen,lithgow,2790
3549269,brenda,johnston,oramge,2800
30963,sarojna,willvams,banksia beach,4507
2233729,joseph,noble,wallood,4306
292069,birgjt,gray,bendigo,3550
3165657,darren,r0binson,bobs farm,2316
919743,judith,duhn,rappville,2469
2812718,colin,greene,hawthoen,3122
1605490,kardn,cleathero,calwell,2905
6763936,warida,campbell,paynes crossing,2325
5476267,kellie,o'connor,whitfieid,4870
171226,spirox,rutherford,berkeley vale,2261
4634597,dawn,capulong,berala,2143
4269776,mavis,vardos,chapman,261l
2089119,synthia,hewson,ckarama,0812
584470,farley,hedley,karratha,671q
1345802,eileen,issekl,ardmona,3629
1737279,faith,brentnall,9oonellabah,2480
889273,felicai,mccormack,golden grove,5125
4018253,elizabeth,phiilips,clayton south,3169
6692901,melanie,scott,wembkey,6014
5928267,jhen,romyn,kirrawee,2232
3794472,patnck,gapes,calamvale,4116
894470,juiieanne,kirk,eaton,6232
3803882,michmael,harvey,weston,2611
2476844,rex,canfarini,azhcroft,2168
2382036,margaret,ware,geelong,3228
4643503,abdullah,jonhson,korumburra,3950
5318008,rozalia,pertzel,pialbba,4655
4543693,betty,williamson,beechboro,6093
736993,anna,mxcurdy,watsonia,3087
1016203,gillian,sum,st marys,2760
2143951,shona,hpdgy,yankalilla,5203
4141808,henry,childs,bundaherg,4670
2256341,anupam,thompson,dubbo,2838
4489190,sutba,schulz,jindera,2642
438244,veronica,kelly,waratah,22q8
3932226,rovin,day,coogee,2034
1980519,aqka,dokic,rosewater,5013
2720418,allan,purwer,parkwood,4214
1864122,lesley,gilliws,kurri kurri,2327
2844570,lisa,drott,mckinnon,3204
