recid,givenname,surname,suburb,pc
393639,margaret,foy,palm beach,4221
1311150,janet,beatton,aberfoyle park,5159
2359728,sally,heffernan,christies beach,5165
6422968,pauline,cross,bairnsdale,3875
1573309,lea,chaplin,south hobart,7004
4063691,robert,gerstenberg,norman park,4170
1311181,anne,mac auley,chatsbury,2580
4696824,cecil,cowlard,jerrys plains,2330
3801577,stanley,ghouri,bankstown,2200
3801578,susan,groom,pendle hill,2145
3670509,josephine,cliff,modbury,5092
6029806,ray,dryden,ringwood east,3135
6837673,terina,el-nayef,bexley,2207
2884095,dianne,sestak,bidwill,4650
6423040,david,beetham,kingaroy,4610
3735639,thi,johnston,malvern east,3148
786956,sangeeta,harris,broken hill,2880
1704480,antonietta,meyrick,urangan,4655
2490913,lorraine,robinson,berwick,3806
917595,bernard,duric,sanctuary point,2540
3932711,hugh,gloury,frankston,3199
1442345,stavros,thompson,warrimoo,2774
5898794,giovanni,haber,duncraig,6023
3932718,glenda,biggs,heathmont,3135
3408431,john,van booma,birkdale,4159
1442353,melissa,huntley,marrickville,2204
2490941,philip,malliaras,oakleigh,3166
4588095,malcolm,vonic,ferntree gully,3156
4194400,teck,yuen,calamvale,4116
5505603,neale,reilly,new lambton,2305
5898822,litian,brien,engadine,2233
5243465,glenice,stewart,canterbury,3126
6029902,daryl,isaac,cannonvale,4802
4719197,michael,walker,rosedale,3847
393823,jeanette,kinsella,redcliffe,4020
1442402,florence,au,hawthorn,3122
1573477,kitlun,morris,farrer,2607
3277416,matthew,bainbridge,burwood east,3151
6292079,maria,perry,allambie,2100
5505648,mirella,frost,alice springs,0870
6292085,fritz,gallautz,dandenong,3175
655990,morag,monk,werribee,3030
6029946,kerry,barker-smith,birkdale,4159
5243519,renate,wallace,salisbury,4107
1180293,ashton,patterson,wagga wagga,2650
5636742,gina,friend,goulburn,2580
1180304,gwendalyn,gordon,wamboin,2620
918167,gregory,rule,slade point,4740
4588191,rina,borowski,lismore heights,2480
2753184,sarah,lynch,dunlop,2615
131746,cynthia,bratten,springvale,3171
4457135,nada,bryce,goolmangar,2480
3408573,susan,gilpin,boolarra south,3870
6685379,ines,thew,hurlstone park,2193
3539663,cheryle,cross,tara,4421
2622168,kenneth,noonan,albion park,2527
5898970,lam,caletti,north ryde,2113
5898971,helen,henry,lambton,2299
1573597,stanley,moore,karana downs,4306
1180385,suzanne,brown,chifley,2606
3146466,vera,smart,broadwater,2472
1835747,ivor,loveday,wantirna south,3152
656104,marjorie,kiwarkis,bonnyrigg,2177
5243628,william,kocsis,rowville,3178
3408637,tama,limbrick,brunswick,3056
2491135,doreen,baxter,reynella,5161
6554374,allan,smith,sunshine north,3020
3945552,joanne,xue,lewisham,2049
3539731,juliana,francis,stawell,3380
3539736,peter,wood,east hills,2213
4457242,michael,kho,marsfield,2122
4195099,frank,haywood,collie,6225
2579458,harry,gould,bald hills,4036
5243687,zulema,tautu,dandenong,3175
5505833,test,gearing-jones,forresters beach,2260
6292274,sophia,cross,goondiwindi,4390
3670837,virginia,fuller,sutherland,2232
5767990,nadesu,allen,strathalbyn,5255
6881418,edward,baldwin,warners bay,2282
525120,nairda,blackwell,bowral,2576
4457281,kylie,smedley,mackay,4740
4981571,marcia,reynolds,ballarat,3350
4588356,johan,wilson,kirwan,4817
3277639,denise,healey,caringbah,2229
4588365,david,forrest,salisbury downs,5108
787281,brian,scanlan,helensvale,4210
3539802,isobel,lim,kogarah,2217
3539810,jillian,english,elizabeth vale,5112
2424978,damian,mann,encounter bay,5211
1311607,mario,gordon,unanderra,2526
2053610,jacqueline,haack,bundaberg,4670
6554507,alan,letizia,chapel hill,4069
1835917,ian,greenwood,nerriga,2622
6423438,wendy,wilkinson,murray bridge,5253
2229135,herbert,jack,quakers hill,2763
5374868,julie,watson,lalor park,2147
4150766,gregory,braines,milawa,3678
1725936,daniel,ngo,cabramatta,2166
4588450,robert,ball,port kennedy,6172
1835939,allan,elliott,towradgi,2518
263078,jacqueline,smith,glen huntly,3163
5899177,mary,mcleod,st peters,5069
1967022,kerrie,phillips,northgate,4013
4064176,coreen,smith-goode,carnegie,3163
6554546,peter,baylor,brunswick,3056
1660403,richard,sewell,grange,5022
5768122,sutjiaty,ambler,mittagong,2575
1835964,beryl,beadman,grafton,2460
1180605,melissa,tyler,george town,7253
3670977,mathew,ferreira,corio,3214
2229188,beth,greathead,palmers island,2463
525254,john,catford,o'connor,2602
4457419,maree,papapetrou,fitzroy,3065
3802065,paul,paskin,woodford,2778
3560953,margaret,thomson,mackenzie,4156
3933149,meralyn,nathan,murray bridge,5253
2360287,john,macdonald,warana,4575
5637096,edward,gee,nairne,5252
3408880,beverley,taylor,tully,4854
6423541,joan,duturbure,clayton,3168
4719608,bernard,ng,campsie,2194
2753530,adrian,mccarthy,merbein,3505
6554621,gerald,attwell,delacombe,3356
132102,rodney,marchese,heatherton,3202
2884615,norma,davidson,eden,2551
4719628,laurel,hage,neales flat,5374
1157979,kieudiem,hopewell,crestmead,4132
1049637,marie,hughes,bentleigh,3204
1063,giuseppe,becker,morayfield,4506
394286,rose,miller,hobart,7000
2098224,sharron,merritt,surfers paradise,4217
787522,rosemary,wright,bulimba,4171
5899332,karen,clark,algester,4115
525381,barrie,perkins,barongarook,3249
4195403,elise,basford,ingle farm,5098
2622542,william,stevenson,linden park,5065
4850772,tina,anderson,shepparton,3630
5244004,john,cunningham,blackburn,3130
5112933,nicole,lillford,charlestown,2290
6816875,michael,jessop,caringbah,2229
65726,ann,sutton,bundaberg,4670
3671164,annie,hicks,numurkah,3636
656510,anthony,so,ashfield,2131
787585,margie,canaveral,fairfield,2165
3540101,huiberthus,pollard,hurstville south,2221
656524,shay,reggars,research,3095
6030486,giuseppe,millar,bencubbin,6477
2360475,ronald,lee,bentley,6102
4981929,deborah,clarke,carrum,3197
5244083,ailsa,mcfeeter,manly west,4179
3802293,dale,haron,wentworth falls,2782
656572,harry,adler,sadleir,2168
3409093,mark,bailey,tamworth,2340
5506250,lindsay,harper,mermaid waters,4218
4981967,christy,bilcich,beaconsfield,6162
394449,don,fleeton,nambucca heads,2448
1967315,elsie,russell,new lambton,2305
394456,peter,whitney,tallarook,3659
2512420,david,prokic,wynnum west,4178
6554843,barry,maddern,ballarat,3350
4457694,kerry,adams,como,6152
2491616,coral,takarangi,padstow heights,2211
4195554,noelene,elkazzi,merrylands,2160
2315815,wayne,tyrell,vermont south,3133
4982004,susan,mcgrory,ormiston,4160
1180925,bruce,stolp,martin,6110
1180930,julie,humphries,mayfield,2304
6685972,karen,tainui,wellington point,4160
1026948,frank,baldwinson,mirrabooka,6061
4195615,alexei,wilson,castlemaine,3450
6423841,joanne,borrello,west croydon,5008
6554918,susan,gardner,rye,3941
6686005,ian,stoodley,rochedale,4123
1705284,suzanne,merchadou,atherton,4883
6554952,alwyn,xie,auburn,2144
656713,margaret,riseley,geilston bay,7015
1049938,timothy,hunter,broome,6725
5506392,gary,dodd,ingle farm,5098
4064607,lynnette,lindwall,scarborough,4020
4326753,roy,henderson,box hill north,3129
4195691,julie,simpson,newstead,3462
263545,graeme,cook,south side,4570
6030721,irene,cook,toowoomba,4350
2360711,geraldine,ferguson,swansea,2281
5375373,theo,gumley,gerringong,2534
2360721,sam,gallagher,alice springs,0870
2287056,patricia,klumpp,northgate,4013
5899674,zoya,williams,wyee,2259
4720029,mercedita,chung,coramba,2450
3540384,edward,fosdick,brunswick west,3055
2753960,michael,dickson,glenmore park,2745
1181104,lesley,collins,yagoona,2199
3409330,joanna,joiner,beaudesert,4285
2491829,raymond,stevens,fairfield west,2165
5163276,patricia,knight,hurlstone park,2193
4457934,denise,scott,beaconsfield,4740
1500,estelle,ellis,bellangry,2446
3671523,graham,kolevski,west wollongong,2500
3671534,gabriella,stankovic,st johns park,2176
4064760,brian,blackadder,north rocks,2151
4064764,robert,whitehead,albany creek,4035
132610,frank,gnaccarini,highton,3216
3802633,timothy,hopkins,margate,4019
2229774,joan,simpson,fairy meadow,2519
4195857,wayne,harraway,arundel,4214
6030870,jean,huggins,thornton,2322
656919,chujungtzu,bartle,gladstone,4680
6293019,margaret,escudro,seaford,3198
4589088,raffaele,eichin,petrie,4502
1443362,ethel,pedler,carrara,4211
2360876,fay,grennan,yamba,2464
4589103,rodney,caddey,dee why,2099
5113396,david,wood,vermont,3133
4851263,susan,apps,port macquarie,2444
5113411,joann,urquhart,ainslie,2602
4589130,keith,jolly,outtrim,3951
3802700,peter,white,yarramalong,2259
2754134,glen,lebehen,ringwood east,3135
788071,cynthia,grant,oakleigh,3166
4982378,enid,thompson,gilgandra,2827
2492013,sally,sims,bracken ridge,4017
2098803,john,plummer,aberglasslyn,2320
394874,robert,smith,belmont,2280
2885248,george,mark,greenbank,4124
2754195,colin,krajcinovic,para hills,5096
3409565,heather,tuttle,point lonsdale,3225
263840,rene,cruttenden,grovedale,3216
1050273,lisa,hast,kew,3101
1699,michelle,pursell,austins ferry,7011
2623143,john,turner,old bar,2430
657064,mario,pearson,lismore,2480
4982444,lyndsay,macauley,colonel light gardens,5041
657081,terence,spiby,mount martha,3934
2492091,margaret,cleare,corlette,2315
2098882,marilyn,frappell,tatura,3616
263875,elwyn,preston,st george,4487
263878,marjorie,lochert,brompton,5007
5286860,julie,ching,epping,2121
5265017,debra,turner,belmont,3216
4327149,thomas,chambers,gosnells,6110
2885362,karsha,thomas,peregian beach,4573
3540724,neville,targett,pipers river,7252
5900029,amal,addison,katoomba,2780
3409677,charles,hoehne,rooty hill,2766
6686487,kay,reid,camp hill,4152
3409690,adrian,walsh,alderley,4051
2361126,frank,emerton,taree,2430
5244712,frederick,wickson,concord west,2138
3671849,ronald,wain,maffra,3860
3278639,nicole,bransden,ulverstone,7315
3540795,aziz,edwards,forestville,2087
5375814,le,anderson,hilton,6163
5900114,anthony,ridgwell,watsonia,3087
2492251,sandra,elliott,rylstone,2849
1050480,mandy,french,terip terip,3719
5286888,michael,douglas,gosford east,2250
6162293,patricia,camiolo,coburg,3058
5506939,kevin,leonard,aspendale,3195
2361214,louise,sanson,barrack heights,2528
4851591,malcolm,lacy,south yarra,3141
4196234,alison,hooton,paradise point,4216
1932,david,kang,woolloomooloo,2011
2492304,raymond,hooper,manly,4179
526242,amanda,rodgers,caulfield north,3161
2361261,sandra,webb,kyogle,2474
4327344,dorothy,chynoweth,trevallyn,7250
1970,emma,campbell,carindale,4152
788403,ronald,coffey,driver,0830
1705920,bruce,allcock,lower templestowe,3107
526290,kathleen,houlder,arncliffe,2205
4589523,judith,narogo,kensington,2033
2754517,denise,blomfield,buderim,4556
4589529,lindsay,forster,hawthorn,3122
5244896,lynda,easton,lang lang,3984
2623468,julian,wardak,broadmeadows,3047
5701970,charmaine,mcmahon,glenmore park,2745
3672057,sarah,harrison,peakhurst,2210
6817796,lynette,li,brunswick,3056
5113865,clayton,cutmore,moree,2400
1837067,jeffrey,despotovici,croydon park,5008
2099212,paul,smith,wamuran,4512
3934232,sarem,byrne,avoca beach,2251
4327451,anthonee,cenzato,croydon park,2133
6031396,laurel,mcgregor,windermere,3352
5638181,jeffrey,douglas,st andrews,2566
3714056,erica,robert,waikiki,6169
3934258,lee,wallace,port macquarie,2444
3147828,juliet,derecki,elizabeth grove,5112
2230340,glenda,miller,wallsend,2287
788554,mu,davidson,wilston,4051
6031435,shane,yildiz,marrickville,2204
2230356,marek,anderson,castle hill,2154
6686808,maria,asser,buderim,4556
2143,con,kountouriotou,clayton south,3169
2492516,gerard,jensen,caboolture,4510
5769321,june,wallace,deception bay,4508
5638259,robert,hurse,booroorban,2710
1968244,robert,backhouse,quairading,6383
5245057,john,rushton,tootgarook,3941
6555781,ivy,moore,chermside,4032
6555792,mandy,hart,cronulla,2230
6817937,mary,vincent,cronulla,2230
2754707,anthony,iannetti,kidman park,5025
2754719,lee,fontana,tin can bay,4580
5245092,michelle,einikis,new farm,4005
3299014,tracey,bain,flemington,3031
5900461,grace,chiffings,crawley,6009
5114031,barbara,djukic,ryde,2112
5245104,janine,mitchell,mackay,4740
2361526,gabriella,evans,beresford,6530
6424759,andres,law,currumbin creek,4223
4589755,walter,graham,castle cove,2069
3803324,monica,li,lidcombe,2141
5114056,jacqueline,burnane,mirrabooka,6061
5900493,van dau,duhig,rockingham,6168
5621577,barbara,frasca,wangaratta,3677
133337,gary,strideberj,surfers paradise,4217
1968350,henry,richmond,rosanna,3084
2361603,mark,boelens,merewether,2291
264459,patricia,fahey,elanora,4221
721282,william,holland,singleton,2330
2230543,ronald,denyer,baulkham hills,2153
6555925,rodney,marks,elands,2429
5769507,salvatore,flanagan,manly,2095
1444133,helen,bairstow,oyster bay,2225
3803430,bill,godrich,devonport,7310
133416,michelle,riedy,bucca,4670
5376297,valeria,coote,wyoming,2250
2361648,sandra,weisse,yeppoon,4703
5769524,pamela,dierke,toowoomba,4350
133429,selvi,bucknell,the basin,3154
1027125,trevor,thomas,paradise point,4216
5680182,terry,mcdonald,sunshine,3020
6162764,neela,best,tanawha,4556
526670,susanne,anderson,croydon,3136
133457,keying,le,bankstown,2200
4983122,grant,roche,warracknabeal,3393
5900630,david,jones,andrews farm,5114
6007865,leon,hannan,runcorn,4113
788829,stuart,russo,south johnstone,4859
6687070,rosemary,blackburn,eton north,4741
1444197,tae,lyons,avoca,3467
1182057,gisela,dorgan,williamstown,3016
657781,sally,ashe,kew,3101
6162812,chantal,collison,katoomba,2780
5769597,prue,sabine,kingscliff,2487
6532162,stephen,palombo,keilor park,3042
6424976,ann,craig,henley beach,5022
2294168,christopher,moozak,east maitland,2323
2492829,mario,richards,annerley,4103
1051038,james,burnett,windale,2306
2361759,kim,robertson,dandenong,3175
1267440,norma,stubbing,south yarra,3141
5376423,sauk,beissert,avoca,3467
264617,veronica,vli,sunnybank,4109
526763,michael,almada,cabramatta west,2166
5507501,maria,florance,berwick,3806
1575346,kevin,joyce,the gap,4061
133557,vickie,smith,ashgrove,4060
4196791,maureen,keating,urunga,2455
1968573,peter,maher,lavington,2641
3148222,mavis,brook,andrews farm,5114
395723,lilyana,hamdan,carramar,6031
1706452,peter,bradley,tin can bay,4580
788951,diane,chaseling,camira,4300
657891,merrin,younger,maroochydore,4558
1444325,sharon,bail,wallington,3221
526832,susan,porritt,ballina,2478
395761,jean,dutton,goondiwindi,4390
1837556,dianne,lucas,denistone east,2112
1182202,janelle,tohovitis,moonee ponds,3039
1444352,michael,cunning,buderim,4556
5769733,perry,garnham,metford,2323
5769736,cherie,harman,scarborough,6019
2361867,alan,brown,deception bay,4508
6556196,sedat,arthur,acacia ridge,4110
4852265,brett,delfante,west perth,6005
3017277,janelle,eskett,kensington,2033
1575491,chris,andrews,nicholson,3882
3648609,paul,renggli,darling point,2027
2886220,ann,graham,gawler,5118
2250511,maureen,feltrin,coffs harbour,2450
5638759,raymond,wang,avondale heights,3034
1837672,lee,brown,yunderup,6208
395885,john,mcdonald,seven hills,2147
4852335,olga,holdsworth,redbank plains,4301
3934832,laurence,antouri,coburg,3058
5376634,carol,mcilveen,mooloolaba,4557
2184983,joan,bentley,adelong,2729
4721294,norman,constable,bodalla,2545
5114515,glenn,hicks,burleigh heads,4220
6556311,bernard,gocher,silverwater,2128
6163099,carmel,la barre,camperdown,2050
5376669,susan,cotz,mitchell park,5043
4459171,donald,ng,ultimo,2007
6556334,robyn,lovell,taigum,4018
1182383,joan,reynolds,lithgow,2790
133813,ian,armstrong,piangil,3597
3279543,rassem,elmir,ashfield,2131
4459205,janet,xia,parramatta,2150
1837776,paul,harry,forestville,2087
1575641,hugh,dawe,young,2594
920291,paul,barker,tuncurry,2428
2755301,aaron,wegner,hampton,3188
3148518,john,riley,engadine,2233
789236,suzanne,parker,farrell flat,5416
3430185,tanja,campbell,woronora heights,2233
789240,alvia,thompson,stockinbingal,2725
66004,berilyn,snow,mill park,3082
1051397,janette,conway,adamstown heights,2289
2822,karen,nelson,bonnells bay,2264
4983560,john,lawry,kew east,3102
1182473,heather,yatman,punchbowl,2196
396043,jane,downing,lavington,2641
1837838,sean,riley,bray park,4500
4852501,eugene,williams,taree,2430
3017497,noelene,karamalakis,earlwood,2206
2709296,joseph,kumar,koumala,4738
527160,roslyn,nahrung,gympie,4570
4721466,anthony,lamont,telopea,2117
1051469,carla,marissen,yokine,6060
502925,robin,goard,fairy meadow,2519
6294358,julie,sedivy,woolgoolga,2456
5114727,rex,broadbent,clontarf,4019
527208,patricia,cutting,para hills west,5096
4459375,maryanne,wales,murwillumbah,2484
1444727,terina,benham,collaroy,2097
5114744,lindy,aylward,caringbah,2229
265082,leslie,creedy,deception bay,4508
5376899,gary,peters,warneet,3980
6687621,john,bald,marrickville,2204
3279765,jeanette,carroll,lower plenty,3093
2231191,alison,burns,morley,6062
4983707,david,tran,preston,3072
3017636,gail,skerratt,stirling,6021
4197291,ann,bonnici,altona,3018
2231217,irene,bannerman,osborne,5017
134069,james,leiper,ocean reef,6027
5245885,lynette,hawketts,weetangera,2614
265153,catherine,hurley,bathurst,2795
2493390,joseph,harnett,belmore,2192
4459478,deborah,freeman,malvern,3144
2755551,lloyd,willmott,northam,6401
1969122,teresa,hartley,ballina east,2478
6294506,julie,lindsay,beechboro,6063
4459499,john,begbie,seventeen mile rocks,4073
6163440,pauline,denton,riverton,6148
1051634,lynne,anderson,morisset,2264
3068,patricia,gabriel,maroubra,2035
6685184,donald,harbison,tamworth,2340
1444867,kwok,hill,bondi junction,2022
1575940,christine,mansield,trott park,5158
6425610,andrew,cholmondeley,doveton,3177
6687762,darren,morley,bli bli,4560
3148824,lynette,kline,balmain,2041
4459579,licinio,frichot,kennington,3550
2971488,emily,jeffrey,nemingha,2340
3148866,jacqueline,calwell,strathalbyn,6530
2862262,carol,stewart,frenchville,4701
2886726,hilary,bentley,blackburn,3130
4197451,ruth,surinder,mosman,2088
4459599,brian,anderson,belrose,2085
4852817,thomas,mazzone,morang south,3752
3823459,keith,cinco,fairfield,3078
2362456,judith,taylor,carlingford,2118
3673178,susan,cray,toowong,4066
5418170,ian,alison,gray,0830
3170,steve,sephton,dandenong,3175
3411047,stuart,tyrrell,mount helena,6082
5377128,xian,bargachieh,merrylands,2160
4740967,eles,ramanayake,dandenong,3175
4721772,manuel,macdermid,narre warren,3805
4590702,anne,richmond,warrnambool,3280
5114993,douglas,souris,parkinson,4115
3673203,virginia,vear,ridgehaven,5097
1576056,mark,rich,hamilton,2303
3804291,filomena,schoenfeld,nunawading,3131
1770006,michael,coulson,riddells creek,3431
2231432,jan,james,nundah,4012
1182863,alison,newton,young,2594
1576083,gina,howe,salisbury east,5109
5508245,carol,soutter,kingaroy,4610
4852886,marjorie,adams,sans souci,2219
2100377,haralambos,veal,aldinga beach,5173
1051808,robyn,nguyen,villawood,2163
6687909,joyce,mulia,kingsgrove,2208
1267569,annette,hampton,new farm,4005
1838253,mohammed,canning,edens landing,4207
2493614,yvonne,godward,moonta,5558
134319,garry,wardeiner,mitcham,3132
3017904,david,stoddart,wingham,2429
2100401,gregory,fallowfield,wagga wagga,2650
6903667,kathleen,pleydell,st albans,3021
920762,richard,chung,langwarrin,3910
4983995,paul,wooster,bendigo,3550
1838270,phillip,cockroft,clontarf,4019
3542210,tarcisio,gilbert,bowral,2576
134343,david,breen,southport,4215
1838283,james,ho,reservoir,3073
1969374,lancelot,betschwar,thirroul,2515
4197600,leanne,clee,horsham,3400
4609915,nancy,mckeegan,almaden,4871
3321510,brian,hill,mackay,4740
5508337,steven,gotting,mittagong,2575
6032638,yu,ince,merrylands,2160
2755843,barbara,lee,redland bay,4165
2755848,amanda,brymer,mill park,3082
1791874,jacquelin,amoy,enfield,5085
2624783,gary,spinks,paradise,7306
3280154,regina,velnic,burwood,2134
396572,marion,davey,happy valley,5159
4740997,marilyn,segaran,linden park,5065
1445155,paul,hoskin,mackay south,4740
786993,john,o'donnell,burnside,5066
4984109,roger,gray,henley beach,5022
3411257,peter,allman,currumbin waters,4223
920896,dora,may,dubbo,2830
2624834,peter,pelle,concord,2137
6510476,peter,cerabona,brunswick,3056
1183050,sharyn,mercado,gosford east,2250
3416,suzanne,hawken,ferny creek,3786
6163804,patricia,doyle,capalaba,4157
6163810,elaine,morton-stone,queens park,2022
3411306,craig,oliver,orange,2800
4197740,clifford,wilson-brown,swanbourne,6010
6313875,george,ricketts,alexandra hills,4161
3935606,bradley,lindsay,evandale,7212
3673475,adam,gifford,vasse,6280
6294918,raymond,gibson,reservoir,3073
1707406,daniel,davis,russell island,4184
6163856,phyllis,williamson,warrawee,2074
6688146,linda,craine,flinders,3929
787011,robyn,bromley,hawker,2614
4915780,sandalene,forgie,duncraig,6023
5770663,noelene,mcintosh,orbost,3888
6819243,amanda,nesbitt,karrinyup,6018
5770669,arthur,altus,aldinga beach,5173
2493872,puteri,bitmead,toowoomba,4350
6557110,rudy,findlay,carina,4152
789943,qing,jeffrey,kilsyth south,3137
3411386,angelica,phillips,kinka beach,4703
5639611,graeme,haack,keperra,4054
1314241,wendy,jugran,parramatta,2150
1838532,michael,williams,rye,3941
4984263,maree,rowbottom,mayfield,2304
4066760,phillippa,calvert,minto,2566
4328909,lisa,whiteford,ashfield,2131
4722129,craig,gutteridge,ledge point,6043
5377492,mark,klatte,garfield,3814
6401273,maria,ward,cheltenham,3192
5770715,lesley,smyth,happy valley,5159
2362850,james,woosnam,loxton,5333
1183204,tom,yaghlejian,killarney heights,2087
4984297,giuseppa,jeans,collingwood park,4301
3542506,paul,eastwood,brooklyn park,5032
6707111,noeline,mcfarlane,bayswater north,3153
6163948,russell,kristo,lavington,2641
527854,douglas,saad,kings langley,2147
5508595,damian,hamilton,southport,4215
790006,david,askin,tinnanbar,4650
5508602,cesar,townsend,quakers hill,2763
1838588,margot,wood,nowra east,2541
4328957,keith,gosch,yangebup,6164
6163979,theo,rohangiz-rafii,burnside,5066
6819340,jillian,humphrey,deniliquin,2710
6032910,robert,portaro,keilor east,3033
6295060,jane,davey,middle ridge,4350
5246489,christine,ramm,tannum sands,4680
5901869,anthony,rutherford,edgeworth,2285
3015261,tristan,magarelli,keilor east,3033
3804720,ralia,aksan,corrimal east,2518
2756146,deborah,arundell,hoppers crossing,3029
2100803,lynette,cosgrove,wooloowin,4030
4197959,annabelle,campbell,wangaratta,3677
396877,benedict,logan,toowoomba,4350
3804753,dawn,dettori,warwick,4370
3280468,helen,martin,lithgow,2790
4197976,rachel,o'connor,kedron,4031
4260453,irena,whiting,adelong,2729
5901932,ronald,jordan,essendon,3040
4329071,nicholas,bedford,carina heights,4152
527991,michelle,gartrell,alexander heights,6064
2887289,lay,jennings,craigie,6025
4591226,susan,aquino,kangaroo point,4169
265861,elizabeth,miller,woonona,2517
6033032,joyanne,lowry,ocean reef,6027
5770904,stephanie,blakston,frankston,3199
5508761,sonyya,moore,pegs creek,6714
6426268,nicholas,jeffrey,mount gravatt,4122
3804829,andrew,ubaldi,princes hill,3054
1707691,raffaela,goonan,wodonga,3690
554419,ann,willings,blacktown,2148
5639854,olga,hyland,hunters hill,2110
3762,marie,cozens,croydon park,2133
109854,fung,elbourne,glebe,2037
1314489,rick,picken,buccan,4207
134848,aileen,donovan,richmond,7025
4067021,elvis,tapscott,lochiel,2549
3149521,henry,martin,banora point,2486
1052372,doan,sheather,cootamundra,2590
4216253,italo,onley,parkes,2870
2232035,margaret,roche,merrylands west,2160
4107559,rebecca,pin,spring hill,4000
5377774,helen,sinfield,scarborough,6019
3411698,sharon,brooks,panania,2213
3542772,kim,smith,kingswood,5062
2625270,jeremy,hadland,bunbury,6230
3935992,heather,zucco,edensor park,2176
134912,naomi,graham,wamberal,2260
3411724,gregory,giles,wingham,2429
1838864,jian,krawczyk,craigieburn,3064
4544472,mark,taylor,east maitland,2323
4067091,joan,huynh,cabramatta,2166
1966725,ann,parsons,east victoria park,6101
2363168,douglas,milasinovic,sunshine,3020
6704032,nicholas,marriott,taree,2430
3542841,carmelo,tahapeehi,narrabeen,2101
266044,norman,lister,st ives,2075
6557508,glenn,coulston,wodonga,3690
5902150,betty,carey,trundle,2875
3914,priyangani,lock,rockhampton,4700
1314635,carol,cohen,benowa,4217
4722511,suzanne,johnson,williamtown,2318
3925,santa,eckersley,baulkham hills,2153
6426457,alan,banks,carrington,2294
2756443,colin,wheeler,currajong,4812
266076,lionel,smith,glen waverley,3150
1445730,angela,grace,rosemeadow,2560
4329315,graham,capelli,lange,6330
4238652,rosanne,craig,mackay,4740
1707890,stamatina,tarpis,berala,2141
4984694,hilary,shephard,gateshead,2290
2887545,patricia,halliday,bellingen,2454
2756475,gregory,browne,kingston,4114
1707900,robert,maso,bayswater,6053
4460413,jillian,lebeter,karalee,4306
1576831,rosalyn,welsh,dharruk,2770
5771136,derek,aoun,gymea,2227
2494355,wayne,clampett,katoomba,2780
1576857,anthony,lassau,kenthurst,2156
2363293,sagar,russell,tamworth,2340
2494376,aaron,mafundi,campsie,2194
3936188,maureen,ashton,cairns,4870
2228896,marie,pearce,scarness,4655
1314768,patricia,mifsud,nana glen,2450
921579,rosemary,matthews,kuluin,4558
6819826,lina,ainsworth,scarborough,6019
3936243,anthony,bill,goulburn,2580
4460535,yeesat,walter,epping,2121
397305,annie,emmott,ballajura,6066
6819834,mary,rose,biloela,4715
3280891,phillip,walker,port macquarie,2444
3411970,noelene,ruggieri,ingham,4850
5509123,jeanlouis,sher,caulfield,3162
